IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_COUNT,MOBITEL_COUNT,HUTCH_COUNT,AIRTEL_COUNT,DIALOG_AREA_PERCENTAGE,AIRTEL_AREA_PERCENTAGE,MOBITEL_AREA_PERCENTAGE,HUTCH_AREA_PERCENTAGE,INF_S3_ARN,PROFILE_NAME,SHAPEISO,SHAPEID,CAPTURE_PHASE,SALES_AREA
31450,66110,15538,2025-04-26 06:39:54.380,2025-04-25 12:05:44.871,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/15538/2/ORIGINAL/image_31450.jpeg,9.583885,79.8207446,Northern,Jaffna,Velanai,Pungudutivu Centre South,Jaffna,Northern,0,0,1,2,0.00000000000000000,52.86307053941909118,0.00000000000000000,47.13692946058090882,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/15538/2/INFERENCE/PRESENSE/image_31450.jpeg,Murugan Stores,LK-41,,4,Jaffna Inner
31924,2121463,1660237,2025-04-26 06:39:54.380,2025-04-25 13:46:17.034,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1660237/2/ORIGINAL/image_31924.jpeg,8.692699,80.2734232,Northern,Vavuniya,Vengalacheddiculam,Andiyapuliyankulam,Vavuniya,Northern,0,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1660237/2/INFERENCE/PRESENSE/image_31924.jpeg,Kasmitha Stores,LK-44,,4,Vavuniya
31266,885152,701366,2025-04-26 06:39:54.380,2025-04-25 11:36:41.666,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/701366/2/ORIGINAL/image_31266.jpeg,6.872212,81.3501396,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,2,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/701366/2/INFERENCE/PRESENSE/image_31266.jpeg,Sumanasiri stores,LK-82,,4,Monaragala 1
32138,242584,314212,2025-04-26 06:39:54.380,2025-04-25 15:03:07.806,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/314212/2/ORIGINAL/image_32138.jpeg,6.8719775,81.3516236,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,0,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/314212/2/INFERENCE/PRESENSE/image_32138.jpeg,Samanala Phone Shop,LK-82,,4,Monaragala 1
30038,56617,81489,2025-04-26 06:39:54.380,2025-04-25 09:09:44.085,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/81489/2/ORIGINAL/image_30038.jpeg,6.3665566,80.9288956,Uva,Moneragala,Sewanagala,Sevanagala,Monaragala,Uva Sabaragamuwa,6,0,1,0,79.99163267440644631,0.00000000000000000,0.00000000000000000,20.00836732559355724,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/81489/2/INFERENCE/PRESENSE/image_30038.jpeg,Lahiru Stores,LK-82,,4,Monaragala 2
31388,199743,150977,2025-04-26 06:39:54.380,2025-04-25 11:55:18.564,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/150977/2/ORIGINAL/image_31388.jpeg,8.7043584,80.3441128,Northern,Vavuniya,Vengalacheddiculam,Kurukkalputhukullam,Vavuniya,Northern,3,0,1,2,81.14252823944168824,14.94352111662709603,0.00000000000000000,3.91395064393121794,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/150977/2/INFERENCE/PRESENSE/image_31388.jpeg,R.K stores ,LK-44,,4,Vavuniya
32146,576272,488326,2025-04-26 06:39:54.380,2025-04-25 15:06:59.023,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/488326/2/ORIGINAL/image_32146.jpeg,6.8720203,81.3516021,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,5,2,0,0,74.19643083474866785,0.00000000000000000,25.80356916525133926,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/488326/2/INFERENCE/PRESENSE/image_32146.jpeg,Chathuranga Stores,LK-82,,4,Monaragala 1
31466,65532,72243,2025-04-26 06:39:54.380,2025-04-25 12:08:38.811,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/72243/2/ORIGINAL/image_31466.jpeg,9.7192925,80.0184943,Northern,Jaffna,Uduvil,Inuvil West,Jaffna,Northern,1,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/72243/2/INFERENCE/PRESENSE/image_31466.jpeg,Sivan Stores,LK-41,,4,Jaffna Inner
29107,66550,17110,2025-04-26 06:39:54.380,2025-04-24 12:17:37.472,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/17110/2/ORIGINAL/image_29107.jpeg,9.8140591,80.0131425,Northern,Jaffna,Tellipallai,Naguleswaram,Jaffna,Northern,5,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/17110/2/INFERENCE/PRESENSE/image_29107.jpeg,Piragalaath Bavan,LK-41,,4,Jaffna Inner
31958,65851,59741,2025-04-26 06:39:54.380,2025-04-25 13:57:59.383,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/59741/2/ORIGINAL/image_31958.jpeg,9.7778355,80.1151893,Northern,Jaffna,Kopay,Atchuvely North,Jaffna,Northern,0,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/59741/2/INFERENCE/PRESENSE/image_31958.jpeg,Vimala Store,LK-41,,4,Jaffna Inner
